id,preview,energy,valence
7lLe68z2Hj3ZLEnyEYLaAW,https://p.scdn.co/mp3-preview/246e0b152b657cb2df09f766234545168523022b?cid=7b94cea739b042da8b24219ff35b9915,0.552,0.424
00oK5DJb5tjUcYwuaRdd4D,https://p.scdn.co/mp3-preview/46cae67c2bdbbad493bd65bff0b64f0bd49f3acd?cid=7b94cea739b042da8b24219ff35b9915,0.736,0.511
66qCwW7irVylnYO9foq9Ft,https://p.scdn.co/mp3-preview/bfdc7000a9f688b86b442b0bdcd8e18b319a954f?cid=7b94cea739b042da8b24219ff35b9915,0.871,0.749
112qBUNlsahe1nBKdek7tD,https://p.scdn.co/mp3-preview/54a4c14bdd09965b977b0e059ea142b702957f9a?cid=7b94cea739b042da8b24219ff35b9915,0.686,0.594
49d9lPAoUzNj1e5eJHUJWp,https://p.scdn.co/mp3-preview/9b6a8cff1e0ea547e2b68db5a1be58f2401b1e01?cid=7b94cea739b042da8b24219ff35b9915,0.831,0.679
6wOQ7xqVkemBbc8tySYBcA,https://p.scdn.co/mp3-preview/571a35c37596253ec47ef7bd51119e9d3a11af89?cid=7b94cea739b042da8b24219ff35b9915,0.362,0.466
248ozKfyXoGIPWWHrY0JQT,https://p.scdn.co/mp3-preview/5a6da2451f901748c299be1fca8951b4a7cc6011?cid=7b94cea739b042da8b24219ff35b9915,0.793,0.598
2RDdSeTtnFgZx3cBGVcFGK,https://p.scdn.co/mp3-preview/e044e05d9813bc1d55e3ba61cec6ad6c9a6e4988?cid=7b94cea739b042da8b24219ff35b9915,0.477,0.11
0M428fm915tBsCWkgjE4Xi,https://p.scdn.co/mp3-preview/e7972219576dfcea098b66203f070cabd2c66901?cid=7b94cea739b042da8b24219ff35b9915,0.795,0.356
6cKTaE8Q5dzAWOIpk5mkMU,https://p.scdn.co/mp3-preview/b8fc40dffb85b5432c1932d4ca48cb5ef770daae?cid=7b94cea739b042da8b24219ff35b9915,0.881,0.676
